IGLC2	1707354
TMSB4X	757508
IGHA1	577507
MALAT1	559043
RPL13	367098
RPS18	344746
RPS2	335494
RPS4X	327727
RPL10	318372
B2M	282227
RPLP1	257691
RPS3	242203
FTL	234321
MT-CO3	213933
RPS19	211998
RPS6	206979
RPL19	197430
RPL8	195801
MT-CO2	193132
RPS14	190240
RPL11	180501
RPL29	176853
RPL15	171841
RPS5	162674
MT-ND4	162319
RPL7A	160569
GAPDH,GAPDH-AS1	160226
RPL10A	153225
BEST1,FTH1	144349
MT-CO1	141952
RPS27A	140705
RPS9	140541
RPS12	140495
RPL18	139133
RPS8	139129
ACTB	136341
RPS16	134916
RPLP0	127760
RPL13A	122686
CD74	121285
RPL28	116899
RPL27A	112939
MT-CYB	108865
RPL32	108000
TPT1	105652
JCHAIN	104642
RACK1	103338
IGKC	100825
RPS7	100179
IGHM	100174
RPL5	99277
RPL23A	97720
PFN1	96285
MT-ND2	95833
RPL4	94113
RPLP2	92442
RPS15A	92140
RPL17-C18orf32,RPL17	91948
ACTG1	91121
RPS13	87652
RPL12	85686
TMSB10	84406
MT-ATP6	80652
RPS15	77936
RPL21	77517
RPS17,ENSG00000260836	74463
RPS20	73904
MT-ND1	72399
SUB1	70756
RPS23	70193
EEF1G,ENSG00000255508	69724
RPS11	69392
ATG10,RPS23	68902
EEF1B2	68319
PTMA	67026
RPS24	66949
NACA	66237
CHCHD3	63873
RPL26	63559
RPL24	62364
SLC25A6	60970
OAZ1	59545
RPL14	59095
EIF1	59052
RPL34	57394
RPL35	56222
ISG15	56147
LRRC75A	54082
HLA-DRA	53806
RPL35A	52114
RPL27	51370
RPL6	50539
YBX1	50445
BTF3	49166
UBA52	48683
CHCHD2	47798
HLA-B	47624
RPL36	47372
CFL1	47210
NME1-NME2,NME2	47052
SERF2	45900
FAU	45118
H2AZ1	45112
EEF2	43300
RPL37A	42028
RPL23	41166
IGLC3	40181
EEF1D	39641
RPS25	39197
TUBA1B,TUBA1B-AS1	38658
MYL6	38568
COX4I1	38058
MTDH	37736
MZB1	37725
GSTP1	37194
RAN	36163
IFITM1	35036
RPS10-NUDT3,RPS10	34417
HINT1	34244
NPM1	34186
H3-3B	33949
RPL31	33754
RPL37	33112
RPL30	32749
ENSG00000251357,MIF,MIF-AS1	32377
CYBA	31889
ARPC2	31720
FAM153CP	31121
RPS3A	30427
HLA-C	30199
EEF1A1	29400
SSR4	29263
TPI1	29180
SNX22,PPIB	28981
RPL3	28576
UQCRH	28502
SEC61B	28202
HSP90AA1	27742
ENO1	27551
ATP5MC3	27413
IGHG1	27149
PKM	25856
ENSG00000285043,ALDOA	25818
H1-2	24744
RPS29	24288
UBB	24254
ISG20	23955
ARHGDIB	23759
EIF2AK4,SRP14	23563
HLA-A	23528
LGALS1	23467
ATP5MC2	23419
CLIC1	23300
PABPC1	23046
COX5A	22818
RPL30,RPL30-AS1	22746
ENSG00000263809,RPL26	22715
BTG1	22668
H2BC12	22514
LDHB	22450
EIF5A	22320
TUBB	22092
SRGN	21912
DBI	21859
NCL	21795
MXD3,PRELID1	21656
SENP3-EIF4A1,EIF4A1	21295
DYNLL1	21214
RPL36AL	20824
HMGN1	20777
MYL12A	20717
RPSA	20561
HSPA8	20463
CALM2	20311
EDF1	20309
RPS21	20261
ATP5MG	20089
SPCS1	20078
IGHG2	19954
HMGB1	19748
EIF3E	19646
HSP90AB1	19452
SDF2L1	19302
COTL1	19270
PARK7	19120
SLC25A5	19051
ARPC3	19006
PCNP	18978
SLC25A3	18822
CD48	18704
CORO1A	18475
SERP1	18364
LDHA	18265
RPL18A	18139
GUK1	18128
SSR3	17953
HMGA1,SMIM29	17925
EIF3H	17921
HSP90B1	17695
SNRPB	17667
HMGB2	17664
PSMA7	17659
CALR	17581
PPIA	17566
HNRNPA1	17515
SSR2	17339
HLA-DPA1	17085
POMP	16903
COXFA4	16894
PFDN5	16683
ATP5F1D	16492
CYCS	16457
EIF3K	16449
BST2	16145
NAP1L1	16108
ENSG00000256646,PSMA2	16079
PSME2	15995
AURKAIP1	15910
EIF3F	15820
EIF2S3	15799
COPE	15642
EIF3L	15594
RPL7	15553
RPS27	15480
SEC11C	15476
MT-ND5	15454
SUMO2	15358
JTB	15330
ATP5PO	15283
LAPTM5	15277
LY6E	15191
HLA-DPB1	15172
TXN	15126
GPX4	15081
ERH	15053
HNRNPA2B1	15000
SH3BGRL3	14877
C1QBP	14774
ATP6V0E1	14762
PDLIM1	14731
MYDGF	14581
PRDX5	14546
APRT	14462
PEBP1	14410
RPL38	14373
CALM3	14366
GABARAP,ENSG00000262526	14335
MANF	14319
HLA-DRB1	14213
COX8A	14116
SRSF3	13940
SET	13911
COX7C	13849
LIMD2	13836
CDC42	13829
RANBP1	13824
ATP5F1E	13700
ARPC1B	13698
RPL22L1	13684
FKBP1A	13632
ATP5PF	13524
JPT1	13392
HLA-E	13249
CD79A	13211
COX7A2L	13005
ARPC5	12894
PSMB1	12875
ENSG00000284292,ARPC1B	12830
SERBP1	12740
CTSH	12560
TRIR	12547
RPS17	12512
ATP5MC1	12491
SF3B5	12450
MT-ND3	12305
P4HB	12133
RMND5B,NHP2	12101
ANP32B	12086
COX6B1	12080
ATP5F1A	12073
OST4	12054
ARL6IP4	12032
COX5B	12009
HIGD2A	11978
UBE2J1	11970
CTSC	11955
HSPA5	11816
CD70	11706
LSM4	11704
C19orf53	11694
MRPL51	11667
ZNF706	11667
NOP53	11666
NEDD8	11661
NDUFV2	11653
ZFAS1	11618
TNFRSF13B	11585
NDUFS5	11571
ATP5F1B	11549
RPL28,UBE2S	11521
SNU13	11508
PSME1	11460
CCNI	11452
CAPZA1	11349
ATP6V1C2,PDIA6	11266
NEAT1	11223
ID3	11214
HMGN3	11208
CIRBP	11117
GTF3A,MTIF3	11109
PLAC8	11053
PSMB9	11038
ATP5IF1	11019
HNRNPC	10981
UBE2D3	10916
PTPRCAP,CORO1B	10871
ENSG00000124593,TOMM6	10840
NME1	10811
COX7A2	10802
CCT8	10796
TMX2,SELENOH,ENSG00000254732	10790
BRK1	10760
PSMB3	10682
PSMB8	10679
H2AZ2	10665
SNRPD1	10641
CD52	10589
RTRAF,NID2	10561
CD27	10522
SMDT1	10505
METTL23,SRSF2	10493
TMA7	10456
ISCU	10445
CUTA	10441
PPA1	10389
SNRPD2	10383
ERP29	10293
RPS27AP5	10279
RPL22	10249
MARCKSL1	10219
RPS27L	10188
MT-ND6	10068
HSPD1	10023
MZT2B	10020
CYC1	9961
MMACHC,PRDX1	9945
CHCHD10	9941
COX6A1	9879
NDUFB9	9831
COX6C	9823
ENSG00000269711,TRAPPC5	9807
GAPDH	9781
GATC,SRSF9	9753
RNASEK,RNASEK-C17orf49	9739
LMAN2	9648
RPL9	9628
STMN1	9626
UQCRB	9584
C12orf75	9508
PARP1	9502
RBM3	9498
RPL36A,RPL36A-HNRNPH2	9467
LAMTOR1	9438
GADD45GIP1	9431
LSP1	9417
PCLAF	9413
TMED9	9279
UQCRFS1	9275
SSBP1	9138
MRPL20	9123
CD53	9091
PHPT1	9078
OSTC	9073
DAD1	9058
TNFRSF17	8997
PSMA4	8958
UBC	8955
HSPE1	8947
ODC1	8883
MYL12B	8835
RAC1	8835
PTGES3	8834
TXN2	8820
UBE2D2	8813
PSMD8	8788
TIMM13	8770
P2RY11,EIF3G	8737
ESRRA,TRMT112	8720
ARPC4	8705
UQCR10	8690
BBLN	8655
SIVA1	8647
EIF3I	8637
XBP1	8632
CCDC85B	8630
RAC2	8628
SRSF7	8620
TOMM5,ENSG00000255872	8596
DDX5	8576
YWHAB	8573
HNRNPK	8559
RPL23A,TLCD1	8527
NDUFB10	8465
H4C3	8436
MDH2	8414
PSMB6	8411
SEC11A	8371
ARPC5L	8315
SF3B6	8312
GPSM3	8300
CALM1	8288
SAP18	8267
RBX1	8255
NDUFS6	8250
ATP6V1F	8248
NDUFB11	8232
SYNGR2	8206
STOML2	8160
DUT	8155
LAMTOR4	8124
HERPUD1	8109
CNBP	8107
PPP1CA	8103
YWHAE	8101
SEC61G	8099
LSM2	8087
CSTB	8082
SRM	8079
GLRX	8071
ATP5MJ	8062
GMFG	8042
ANAPC11	8041
HSPB1	8021
NDUFA13,ENSG00000258674	8011
PGK1	7992
BAX	7975
CKS2	7973
NOP10	7955
PRMT1	7946
AP2S1	7938
PSMB2	7932
MS4A1	7903
SFT2D1	7903
MZT2A	7896
MRPL41	7891
SUMO1	7888
NDUFAB1	7883
TMED2	7856
RPS3A,SH3D19	7834
HLA-DMA	7831
VIM	7831
MRPL12	7813
RBM8A	7808
TUFM	7805
ARF1	7798
MRPS34	7798
NDUFB7	7790
ATP6V0B	7789
EIF3D	7784
GTF3C6	7763
PRR13	7749
RPS26	7735
TOMM22	7735
PCBP1	7734
NFKBIA	7726
DRAP1	7714
CAPZB	7708
GNAS	7686
RPS19BP1	7682
KDELR2	7671
MRPL14	7654
UFC1	7652
NDUFS8	7644
NDUFB8	7631
ENSG00000258790,PSMA6	7623
MRPS12	7620
TOMM7	7616
ABRACL	7615
CRELD2	7602
LAMTOR5	7601
RHOA	7593
COX7B	7589
UBE2I	7582
CCT3	7518
SKP1,ENSG00000272772	7511
VDAC1	7495
THRAP3	7483
SNRPE	7467
NDUFA11	7465
MRPS24,URGCP-MRPS24	7457
MIR497HG,RNASEK-C17orf49,BACC1	7371
GABARAPL2	7351
ATP5PB	7338
SFPQ	7336
PHB1,ENSG00000250186	7318
LSM3	7300
ANAPC16	7269
ENSA	7265
RILPL2	7263
POLR1D	7229
PSMB7	7224
EIF3M	7219
SELENOK	7202
UBE2S	7110
UBXN1	7107
PDCD5	7096
RNASET2	7083
SRP9	7066
SNHG32	7061
LSM5	7026
XRCC5	7022
COMMD6	7016
CAND2,RPL32	6969
POLD4,ENSG00000256514	6966
CLTA	6964
ELOB	6955
NUDT4,UBE2N	6951
RPS15A,ENSG00000260342	6925
SPCS2	6922
SRRM2	6915
LCP1	6904
SNX3	6854
TMBIM6	6841
CRIP1,ENSG00000257341	6821
PSMA1	6819
ZDHHC12	6818
ATP5F1C	6797
NDUFB2	6755
ITM2C	6751
TPM3	6749
SEPTIN7	6748
SRI	6748
IDH2	6747
ISOC2	6743
GNG5	6718
FNBP1	6706
CHLSN	6702
MIF,MIF-AS1	6691
MPG,NPRL3	6685
PABPC4	6674
RSL24D1	6671
MRPL11	6631
VAMP8	6624
TRAPPC1	6595
EMP3	6578
TPM4	6571
FBL	6564
UQCR11	6550
UQCRQ	6549
PDIA3	6511
MX1	6487
HNRNPDL	6456
TMEM258	6454
ACTR3	6449
RCC1	6434
C12orf57	6431
EID1	6425
MPC2	6413
WDR83OS	6413
BUD31,PTCD1	6402
ADRM1	6386
ENSG00000261884,PSMB10	6377
TALDO1	6364
GTF2A2	6361
LSM6	6357
UBE2C	6357
RNF7	6347
BSG	6343
SOD1	6340
UBL5	6322
RER1	6311
CD63	6306
UBE2V1,PEDS1-UBE2V1	6295
PSMA3	6286
ALKBH7	6275
ACAT2,TCP1	6220
POLR2E	6220
TBCA	6216
TUBB4B	6215
EVI2B	6206
FCER2	6206
